day,channel_type,num_posts
2021-08-20 00:00:00-07,chat,156
2021-08-20 00:00:00-07,link,2
2021-08-19 00:00:00-07,chat,1034
2021-08-19 00:00:00-07,link,7
2021-08-19 00:00:00-07,post,5
2021-08-19 00:00:00-07,publish,2
2021-08-18 00:00:00-07,chat,1347
2021-08-18 00:00:00-07,post,1
2021-08-18 00:00:00-07,publish,5
2021-08-18 00:00:00-07,link,8
2021-08-17 00:00:00-07,chat,1345
2021-08-17 00:00:00-07,publish,4
2021-08-17 00:00:00-07,post,1
2021-08-17 00:00:00-07,link,1
2021-08-16 00:00:00-07,publish,45
2021-08-16 00:00:00-07,link,19
2021-08-16 00:00:00-07,chat,1105
2021-08-15 00:00:00-07,link,3
2021-08-15 00:00:00-07,publish,8
2021-08-15 00:00:00-07,post,6
2021-08-15 00:00:00-07,chat,752
2021-08-14 00:00:00-07,link,3
2021-08-14 00:00:00-07,publish,2
2021-08-14 00:00:00-07,post,1
2021-08-14 00:00:00-07,chat,796
2021-08-13 00:00:00-07,chat,1333
2021-08-13 00:00:00-07,link,3
2021-08-13 00:00:00-07,publish,5
2021-08-13 00:00:00-07,post,2
2021-08-12 00:00:00-07,publish,6
2021-08-12 00:00:00-07,post,2
2021-08-12 00:00:00-07,link,1
2021-08-12 00:00:00-07,chat,1511
2021-08-11 00:00:00-07,chat,1087
2021-08-11 00:00:00-07,publish,3
2021-08-11 00:00:00-07,link,3
2021-08-10 00:00:00-07,post,1
2021-08-10 00:00:00-07,chat,1798
2021-08-10 00:00:00-07,link,3
2021-08-10 00:00:00-07,publish,7
2021-08-09 00:00:00-07,post,4
2021-08-09 00:00:00-07,chat,1106
2021-08-09 00:00:00-07,link,13
2021-08-09 00:00:00-07,publish,17
2021-08-08 00:00:00-07,post,4
2021-08-08 00:00:00-07,publish,3
2021-08-08 00:00:00-07,chat,1051
2021-08-07 00:00:00-07,chat,1475
2021-08-07 00:00:00-07,publish,2
2021-08-07 00:00:00-07,link,2
2021-08-06 00:00:00-07,post,1
2021-08-06 00:00:00-07,link,6
2021-08-06 00:00:00-07,chat,1355
2021-08-06 00:00:00-07,publish,5
2021-08-05 00:00:00-07,post,2
2021-08-05 00:00:00-07,publish,14
2021-08-05 00:00:00-07,chat,1441
